"FILE_NAME","SOURCE","BOAT_ID","TRIP_ID","DATE_TIME","LONGITUDE","LATITUDE","GEAR","PASSIVE_ACTIVE","STATUS","SPEED","COURSE","HEADING","QUALITY"
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:08:20,-7.809266667,37.01643333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:08:40,-7.8089,37.016,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:09:00,-7.80845,37.01563333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:09:20,-7.807933333,37.01531667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:09:40,-7.807466667,37.01493333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:10:00,-7.807033333,37.01455,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:10:20,-7.80665,37.01413333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:10:40,-7.806316667,37.01368333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:11:00,-7.805816667,37.01336667,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:11:20,-7.805366667,37.013,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:11:40,-7.804866667,37.01268333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:12:00,-7.804383333,37.01235,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:12:20,-7.80395,37.01198333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:12:40,-7.8038,37.01148333,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:13:00,-7.803733333,37.01096667,"FPO","Passive","not_fishing",9,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:13:20,-7.803216667,37.01076667,"FPO","Passive","not_fishing",10,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:13:40,-7.802566667,37.01073333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:14:00,-7.80195,37.01098333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:14:20,-7.801416667,37.01133333,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:14:40,-7.8009,37.0117,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:15:00,-7.80025,37.01186667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:15:20,-7.799566667,37.01196667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:15:40,-7.798883333,37.01206667,"FPO","Passive","not_fishing",11,NA,NA,NA
"PT_CCM_2021_GP","CCMAR","VE_00001",1,2021-09-30 05:16:00,-7.7982,37.01203333,"FPO","Passive","not_fishing",11,NA,NA,NA
